game_id,treatment_loss_prob,language,personality_condition,n_players,n_rounds,endowment,target,group_total,reached_target,loss_triggered,random_draw,round_totals,agent1_personality,agent1_contributions,agent1_total,agent1_savings,agent1_payoff,agent1_parse_fallbacks,agent2_personality,agent2_contributions,agent2_total,agent2_savings,agent2_payoff,agent2_parse_fallbacks,agent3_personality,agent3_contributions,agent3_total,agent3_savings,agent3_payoff,agent3_parse_fallbacks,agent4_personality,agent4_contributions,agent4_total,agent4_savings,agent4_payoff,agent4_parse_fallbacks,agent5_personality,agent5_contributions,agent5_total,agent5_savings,agent5_payoff,agent5_parse_fallbacks,agent6_personality,agent6_contributions,agent6_total,agent6_savings,agent6_payoff,agent6_parse_fallbacks
p90_en_neutral_0,90,en,neutral,6,10,40,120,180,True,False,0.8899,"[12, 20, 22, 20, 24, 16, 22, 18, 10, 16]",none,"[2, 4, 2, 4, 4, 4, 4, 4, 4, 0]",32,8,8,0,none,"[2, 4, 4, 4, 4, 2, 4, 4, 0, 2]",30,10,10,0,none,"[2, 4, 4, 4, 4, 2, 4, 2, 2, 4]",32,8,8,0,none,"[2, 2, 4, 2, 4, 2, 2, 4, 4, 2]",28,12,12,0,none,"[2, 4, 4, 4, 4, 4, 4, 0, 0, 4]",30,10,10,0,none,"[2, 2, 4, 2, 4, 2, 4, 4, 0, 4]",28,12,12,0
p90_en_neutral_1,90,en,neutral,6,10,40,120,188,True,False,0.205769,"[14, 18, 20, 20, 24, 20, 18, 18, 20, 16]",none,"[2, 2, 4, 4, 4, 4, 4, 4, 2, 4]",34,6,6,0,none,"[2, 2, 4, 2, 4, 4, 4, 4, 4, 2]",32,8,8,0,none,"[2, 4, 4, 4, 4, 2, 4, 4, 2, 2]",32,8,8,0,none,"[2, 4, 2, 4, 4, 4, 2, 0, 4, 2]",28,12,12,0,none,"[4, 4, 2, 4, 4, 4, 2, 4, 4, 4]",36,4,4,0,none,"[2, 2, 4, 2, 4, 2, 2, 2, 4, 2]",26,14,14,0
p90_en_neutral_2,90,en,neutral,6,10,40,120,192,True,False,0.276254,"[12, 18, 24, 22, 16, 22, 16, 22, 16, 24]",none,"[2, 4, 4, 4, 2, 4, 0, 4, 2, 4]",30,10,10,0,none,"[2, 2, 4, 2, 2, 4, 4, 2, 4, 4]",30,10,10,0,none,"[2, 2, 4, 4, 4, 2, 0, 4, 0, 4]",26,14,14,0,none,"[2, 4, 4, 4, 2, 4, 4, 4, 4, 4]",36,4,4,0,none,"[2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",38,2,2,0,none,"[2, 2, 4, 4, 2, 4, 4, 4, 2, 4]",32,8,8,0
p90_en_neutral_3,90,en,neutral,6,10,40,120,182,True,False,0.250678,"[12, 18, 16, 20, 20, 24, 18, 14, 18, 22]",none,"[2, 4, 2, 4, 4, 4, 2, 0, 4, 4]",30,10,10,0,none,"[2, 4, 4, 2, 4, 4, 4, 2, 2, 2]",30,10,10,0,none,"[2, 2, 2, 2, 2, 4, 4, 4, 4, 4]",30,10,10,0,none,"[2, 2, 2, 4, 4, 4, 2, 4, 2, 4]",30,10,10,0,none,"[2, 4, 4, 4, 4, 4, 2, 0, 2, 4]",30,10,10,0,none,"[2, 2, 2, 4, 2, 4, 4, 4, 4, 4]",32,8,8,0
p90_en_neutral_4,90,en,neutral,6,10,40,120,174,True,False,0.582648,"[14, 20, 18, 22, 22, 24, 18, 10, 22, 4]",none,"[2, 4, 4, 4, 4, 4, 2, 4, 4, 0]",32,8,8,0,none,"[4, 4, 4, 4, 4, 4, 0, 2, 4, 4]",34,6,6,0,none,"[2, 2, 2, 4, 4, 4, 4, 2, 4, 0]",28,12,12,0,none,"[2, 4, 4, 4, 4, 4, 4, 2, 2, 0]",30,10,10,0,none,"[2, 2, 2, 4, 2, 4, 4, 0, 4, 0]",24,16,16,0,none,"[2, 4, 2, 2, 4, 4, 4, 0, 4, 0]",26,14,14,0
p90_en_neutral_5,90,en,neutral,6,10,40,120,176,True,False,0.615713,"[12, 14, 20, 22, 24, 16, 24, 8, 24, 12]",none,"[2, 2, 4, 4, 4, 4, 4, 0, 4, 2]",30,10,10,0,none,"[2, 2, 4, 2, 4, 2, 4, 0, 4, 4]",28,12,12,0,none,"[2, 2, 4, 4, 4, 2, 4, 4, 4, 0]",30,10,10,0,none,"[2, 2, 2, 4, 4, 4, 4, 4, 4, 4]",34,6,6,0,none,"[2, 2, 2, 4, 4, 0, 4, 0, 4, 0]",22,18,18,0,none,"[2, 4, 4, 4, 4, 4, 4, 0, 4, 2]",32,8,8,0
p90_en_neutral_6,90,en,neutral,6,10,40,120,168,True,False,0.586011,"[14, 18, 18, 16, 18, 22, 20, 16, 16, 10]",none,"[2, 4, 2, 4, 4, 4, 4, 4, 2, 2]",32,8,8,0,none,"[2, 2, 2, 2, 2, 4, 4, 2, 4, 2]",26,14,14,0,none,"[2, 2, 4, 2, 4, 2, 2, 4, 4, 0]",26,14,14,0,none,"[4, 2, 4, 2, 2, 4, 4, 4, 4, 2]",32,8,8,0,none,"[2, 4, 4, 4, 4, 4, 2, 2, 0, 2]",28,12,12,0,none,"[2, 4, 2, 2, 2, 4, 4, 0, 2, 2]",24,16,16,0
p90_en_neutral_7,90,en,neutral,6,10,40,120,178,True,False,0.477888,"[12, 20, 18, 20, 18, 22, 22, 20, 16, 10]",none,"[2, 4, 4, 4, 2, 4, 2, 2, 2, 2]",28,12,12,0,none,"[2, 4, 4, 2, 4, 4, 4, 4, 0, 0]",28,12,12,0,none,"[2, 2, 2, 4, 2, 4, 4, 2, 4, 2]",28,12,12,0,none,"[2, 4, 2, 2, 2, 4, 4, 4, 2, 2]",28,12,12,0,none,"[2, 4, 2, 4, 4, 2, 4, 4, 4, 2]",32,8,8,0,none,"[2, 2, 4, 4, 4, 4, 4, 4, 4, 2]",34,6,6,0
p90_en_neutral_8,90,en,neutral,6,10,40,120,180,True,False,0.72615,"[14, 22, 20, 22, 22, 18, 20, 18, 10, 14]",none,"[4, 4, 2, 4, 2, 4, 4, 0, 4, 2]",30,10,10,0,none,"[2, 4, 4, 4, 4, 4, 4, 4, 0, 4]",34,6,6,0,none,"[2, 2, 4, 4, 4, 2, 4, 2, 4, 2]",30,10,10,0,none,"[2, 4, 2, 4, 4, 2, 4, 4, 0, 2]",28,12,12,0,none,"[2, 4, 4, 4, 4, 4, 4, 4, 2, 4]",36,4,4,0,none,"[2, 4, 4, 2, 4, 2, 0, 4, 0, 0]",22,18,18,0
p90_en_neutral_9,90,en,neutral,6,10,40,120,190,True,False,0.557625,"[16, 18, 24, 24, 20, 18, 20, 16, 20, 14]",none,"[4, 4, 4, 4, 4, 2, 2, 2, 4, 4]",34,6,6,0,none,"[2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",38,2,2,0,none,"[2, 4, 4, 4, 4, 2, 4, 2, 4, 0]",30,10,10,0,none,"[4, 2, 4, 4, 4, 4, 4, 4, 2, 4]",36,4,4,0,none,"[2, 2, 4, 4, 2, 2, 2, 4, 4, 2]",28,12,12,0,none,"[2, 2, 4, 4, 2, 4, 4, 0, 2, 0]",24,16,16,0
