model,game_id,treatment,language,personality_condition,society,n_players,n_periods,endowment,mpcr,mean_contribution,mean_contribution_by_period,antisocial_punishment_total,agent1_personality,agent1_contributions,agent1_total_contributed,agent1_total_earnings,agent1_contrib_fallbacks,agent1_punish_fallbacks,agent2_personality,agent2_contributions,agent2_total_contributed,agent2_total_earnings,agent2_contrib_fallbacks,agent2_punish_fallbacks,agent3_personality,agent3_contributions,agent3_total_contributed,agent3_total_earnings,agent3_contrib_fallbacks,agent3_punish_fallbacks,agent4_personality,agent4_contributions,agent4_total_contributed,agent4_total_earnings,agent4_contrib_fallbacks,agent4_punish_fallbacks
qwen25-7b-instruct,P_ar_neutral_0,P,ar,neutral,none,4,10,20,0.4,12.125,"[10.5, 12.0, 14.75, 10.25, 8.75, 15.25, 14.0, 15.5, 6.75, 13.5]",195.0,none,"[10, 15, 15, 8, 10, 20, 18, 15, 4, 12]",127,31.6,0,0,none,"[12, 10, 15, 12, 12, 18, 15, 12, 3, 15]",124,37.0,0,0,none,"[10, 8, 14, 5, 12, 15, 15, 20, 10, 15]",124,33.0,0,0,none,"[10, 15, 15, 16, 1, 8, 8, 15, 10, 12]",110,39.4,0,0
qwen25-7b-instruct,P_ar_neutral_1,P,ar,neutral,none,4,10,20,0.4,13.4,"[11.5, 14.0, 13.0, 13.5, 16.75, 10.0, 14.75, 15.25, 14.0, 11.25]",203.0,none,"[15, 16, 10, 18, 20, 5, 15, 20, 15, 10]",144,1.4,0,0,none,"[12, 10, 15, 12, 18, 12, 14, 15, 10, 15]",133,11.0,0,0,none,"[7, 15, 12, 14, 15, 10, 15, 12, 15, 5]",120,16.2,0,0,none,"[12, 15, 15, 10, 14, 13, 15, 14, 16, 15]",139,12.0,0,0
qwen25-7b-instruct,P_ar_neutral_2,P,ar,neutral,none,4,10,20,0.4,14.55,"[14.25, 16.0, 14.25, 15.75, 15.0, 16.5, 14.25, 12.0, 11.5, 16.0]",191.0,none,"[12, 18, 5, 15, 10, 18, 16, 12, 12, 16]",134,29.2,0,0,none,"[20, 15, 18, 16, 18, 18, 15, 15, 10, 20]",165,1.8,0,0,none,"[10, 15, 16, 12, 14, 18, 16, 5, 8, 10]",124,8.0,0,0,none,"[15, 16, 18, 20, 18, 12, 10, 16, 16, 18]",159,10.8,0,0
qwen25-7b-instruct,P_ar_neutral_3,P,ar,neutral,none,4,10,20,0.4,13.55,"[10.0, 13.75, 11.5, 16.0, 12.0, 15.5, 15.0, 11.25, 15.0, 15.5]",244.0,none,"[10, 15, 7, 12, 10, 20, 15, 10, 15, 15]",129,13.8,0,0,none,"[10, 10, 12, 15, 8, 12, 17, 10, 15, 20]",129,24.4,0,0,none,"[10, 15, 15, 17, 15, 15, 10, 15, 15, 15]",142,6.2,0,0,none,"[10, 15, 12, 20, 15, 15, 18, 10, 15, 12]",142,14.2,0,0
qwen25-7b-instruct,P_ar_neutral_4,P,ar,neutral,none,4,10,20,0.4,13.175,"[9.25, 11.25, 15.25, 14.0, 14.0, 13.25, 13.0, 12.0, 13.75, 16.0]",234.0,none,"[10, 8, 15, 15, 15, 5, 12, 10, 15, 18]",123,15.0,0,0,none,"[10, 15, 15, 12, 10, 18, 15, 10, 15, 15]",135,14.4,0,0,none,"[12, 10, 15, 14, 15, 15, 15, 10, 12, 15]",133,2.4,0,0,none,"[5, 12, 16, 15, 16, 15, 10, 18, 13, 16]",136,10.8,0,0
qwen25-7b-instruct,P_ar_neutral_5,P,ar,neutral,none,4,10,20,0.4,12.4,"[9.25, 11.5, 11.5, 14.25, 11.25, 14.75, 12.25, 13.25, 14.75, 11.25]",207.0,none,"[5, 10, 10, 15, 10, 12, 15, 15, 18, 10]",120,17.8,0,0,none,"[5, 12, 10, 15, 10, 15, 10, 15, 18, 10]",120,10.8,0,0,none,"[12, 10, 8, 15, 15, 12, 12, 13, 3, 10]",110,25.0,0,0,none,"[15, 14, 18, 12, 10, 20, 12, 10, 20, 15]",146,0.0,0,0
qwen25-7b-instruct,P_ar_neutral_6,P,ar,neutral,none,4,10,20,0.4,12.85,"[10.0, 14.25, 12.0, 15.5, 13.75, 8.75, 12.25, 12.5, 14.25, 15.25]",196.0,none,"[8, 10, 12, 15, 18, 13, 15, 10, 15, 18]",134,12.8,0,0,none,"[10, 17, 3, 18, 10, 0, 1, 10, 5, 15]",89,25.0,0,0,none,"[12, 15, 18, 14, 15, 12, 18, 15, 20, 10]",149,5.8,0,0,none,"[10, 15, 15, 15, 12, 10, 15, 15, 17, 18]",142,11.6,0,0
qwen25-7b-instruct,P_ar_neutral_7,P,ar,neutral,none,4,10,20,0.4,12.825,"[12.5, 11.25, 15.25, 13.0, 15.0, 14.5, 13.0, 5.75, 14.0, 14.0]",241.0,none,"[10, 15, 16, 12, 12, 15, 15, 5, 16, 12]",128,11.8,0,0,none,"[20, 0, 15, 15, 15, 15, 15, 5, 10, 12]",122,5.2,0,0,none,"[10, 15, 20, 10, 15, 16, 12, 8, 15, 12]",133,17.8,0,0,none,"[10, 15, 10, 15, 18, 12, 10, 5, 15, 20]",130,4.6,0,0
qwen25-7b-instruct,P_ar_neutral_8,P,ar,neutral,none,4,10,20,0.4,12.85,"[11.0, 15.0, 14.0, 12.75, 13.5, 17.5, 8.25, 13.0, 10.75, 12.75]",191.0,none,"[12, 20, 15, 15, 16, 20, 15, 12, 15, 18]",158,5.0,0,0,none,"[10, 10, 15, 18, 10, 20, 1, 15, 0, 8]",107,31.4,0,0,none,"[12, 15, 10, 0, 12, 15, 1, 10, 10, 10]",95,37.0,0,0,none,"[10, 15, 16, 18, 16, 15, 16, 15, 18, 15]",154,11.8,0,0
qwen25-7b-instruct,P_ar_neutral_9,P,ar,neutral,none,4,10,20,0.4,13.575,"[12.0, 12.5, 12.5, 14.25, 15.0, 15.5, 13.0, 10.0, 15.75, 15.25]",191.0,none,"[10, 13, 5, 15, 15, 20, 18, 12, 15, 18]",141,10.4,0,0,none,"[13, 10, 18, 12, 15, 18, 7, 10, 15, 13]",131,0.0,0,0,none,"[15, 15, 12, 10, 14, 10, 15, 8, 18, 10]",127,8.0,0,0,none,"[10, 12, 15, 20, 16, 14, 12, 10, 15, 20]",144,2.2,0,0
