model,game_id,treatment,language,personality_condition,society,n_players,n_periods,endowment,mpcr,mean_contribution,mean_contribution_by_period,antisocial_punishment_total,agent1_personality,agent1_contributions,agent1_total_contributed,agent1_total_earnings,agent1_contrib_fallbacks,agent1_punish_fallbacks,agent2_personality,agent2_contributions,agent2_total_contributed,agent2_total_earnings,agent2_contrib_fallbacks,agent2_punish_fallbacks,agent3_personality,agent3_contributions,agent3_total_contributed,agent3_total_earnings,agent3_contrib_fallbacks,agent3_punish_fallbacks,agent4_personality,agent4_contributions,agent4_total_contributed,agent4_total_earnings,agent4_contrib_fallbacks,agent4_punish_fallbacks
qwen25-7b-instruct,P_vn_neutral_0,P,vn,neutral,none,4,10,20,0.4,10.425,"[8.0, 11.5, 12.0, 13.5, 11.0, 5.75, 7.5, 11.25, 13.75, 10.0]",153.0,none,"[4, 10, 15, 10, 5, 12, 10, 15, 20, 20]",121,49.0,0,0,none,"[5, 10, 7, 20, 15, 10, 5, 10, 15, 10]",107,75.0,0,0,none,"[8, 16, 16, 12, 12, 0, 10, 12, 5, 5]",96,41.4,0,0,none,"[15, 10, 10, 12, 12, 1, 5, 8, 15, 5]",93,57.2,0,0
qwen25-7b-instruct,P_vn_neutral_1,P,vn,neutral,none,4,10,20,0.4,12.25,"[8.75, 11.75, 12.5, 14.25, 13.5, 13.5, 14.25, 10.5, 13.0, 10.5]",103.0,none,"[10, 10, 15, 15, 19, 15, 12, 10, 15, 10]",131,115.2,0,0,none,"[10, 10, 10, 10, 15, 12, 15, 10, 15, 10]",117,138.0,0,0,none,"[10, 12, 15, 12, 5, 15, 15, 12, 12, 12]",120,119.4,0,0,none,"[5, 15, 10, 20, 15, 12, 15, 10, 10, 10]",122,87.6,0,0
qwen25-7b-instruct,P_vn_neutral_2,P,vn,neutral,none,4,10,20,0.4,11.175,"[12.0, 12.5, 10.5, 9.0, 9.75, 13.75, 12.5, 10.0, 8.0, 13.75]",73.0,none,"[10, 15, 15, 15, 12, 15, 15, 10, 0, 15]",122,137.8,0,0,none,"[8, 10, 15, 14, 5, 15, 12, 15, 12, 10]",116,150.0,0,0,none,"[20, 10, 12, 5, 10, 15, 8, 5, 10, 20]",115,174.8,0,0,none,"[10, 15, 0, 2, 12, 10, 15, 10, 10, 10]",94,144.8,0,0
qwen25-7b-instruct,P_vn_neutral_3,P,vn,neutral,none,4,10,20,0.4,10.125,"[9.0, 11.25, 10.0, 13.5, 11.25, 7.75, 10.5, 12.75, 7.5, 7.75]",99.0,none,"[5, 12, 10, 12, 15, 1, 10, 10, 2, 1]",78,114.2,0,0,none,"[1, 3, 10, 15, 10, 10, 12, 16, 10, 10]",97,116.0,0,0,none,"[10, 15, 10, 15, 12, 5, 10, 20, 3, 10]",110,87.6,0,0,none,"[20, 15, 10, 12, 8, 15, 10, 5, 15, 10]",120,74.2,0,0
qwen25-7b-instruct,P_vn_neutral_4,P,vn,neutral,none,4,10,20,0.4,11.4,"[6.75, 11.0, 13.0, 14.25, 13.75, 12.5, 10.0, 11.0, 10.5, 11.25]",94.0,none,"[5, 7, 10, 15, 10, 10, 10, 15, 10, 10]",102,114.6,0,0,none,"[10, 12, 12, 14, 15, 10, 10, 14, 12, 10]",119,110.6,0,0,none,"[10, 15, 15, 8, 15, 10, 20, 10, 15, 15]",133,103.6,0,0,none,"[2, 10, 15, 20, 15, 20, 0, 5, 5, 10]",102,98.8,0,0
qwen25-7b-instruct,P_vn_neutral_5,P,vn,neutral,none,4,10,20,0.4,10.45,"[7.75, 6.5, 11.75, 13.0, 7.25, 14.25, 9.75, 10.75, 13.5, 10.0]",81.0,none,"[8, 6, 20, 20, 2, 20, 1, 10, 15, 10]",112,71.8,0,0,none,"[5, 0, 4, 10, 12, 15, 10, 8, 12, 15]",91,100.0,0,0,none,"[10, 10, 15, 10, 10, 10, 13, 15, 12, 5]",110,91.0,0,0,none,"[8, 10, 8, 12, 5, 12, 15, 10, 15, 10]",105,126.8,0,0
qwen25-7b-instruct,P_vn_neutral_6,P,vn,neutral,none,4,10,20,0.4,10.4,"[7.0, 11.75, 12.5, 12.75, 14.5, 11.5, 12.0, 7.25, 10.0, 4.75]",144.0,none,"[5, 15, 15, 12, 15, 10, 13, 1, 15, 1]",102,83.4,0,0,none,"[10, 12, 15, 12, 13, 12, 10, 8, 10, 3]",105,84.2,0,0,none,"[8, 10, 8, 12, 15, 12, 15, 10, 10, 5]",105,77.2,0,0,none,"[5, 10, 12, 15, 15, 12, 10, 10, 5, 10]",104,85.4,0,0
qwen25-7b-instruct,P_vn_neutral_7,P,vn,neutral,none,4,10,20,0.4,8.95,"[7.25, 8.75, 11.25, 10.0, 7.75, 9.0, 10.75, 6.75, 10.25, 7.75]",103.0,none,"[5, 10, 10, 10, 1, 15, 15, 2, 15, 1]",84,118.0,0,0,none,"[10, 15, 10, 10, 5, 1, 10, 8, 1, 12]",82,131.6,0,0,none,"[4, 0, 10, 8, 10, 10, 8, 2, 15, 8]",75,55.6,0,0,none,"[10, 10, 15, 12, 15, 10, 10, 15, 10, 10]",117,85.2,0,0
qwen25-7b-instruct,P_vn_neutral_8,P,vn,neutral,none,4,10,20,0.4,11.45,"[7.0, 12.5, 11.0, 8.75, 14.25, 11.25, 11.75, 13.0, 13.25, 11.75]",135.0,none,"[5, 10, 10, 12, 20, 15, 10, 15, 18, 15]",130,55.6,0,0,none,"[8, 15, 10, 10, 7, 10, 12, 20, 10, 10]",112,50.6,0,0,none,"[5, 10, 10, 1, 20, 10, 10, 10, 15, 10]",101,60.4,0,0,none,"[10, 15, 14, 12, 10, 10, 15, 7, 10, 12]",115,79.6,0,0
qwen25-7b-instruct,P_vn_neutral_9,P,vn,neutral,none,4,10,20,0.4,11.175,"[8.25, 11.25, 13.0, 13.0, 11.75, 9.5, 15.0, 10.0, 6.25, 13.75]",88.0,none,"[10, 10, 10, 15, 15, 12, 15, 10, 10, 15]",122,77.6,0,0,none,"[10, 10, 15, 12, 10, 10, 15, 10, 10, 15]",117,124.8,0,0,none,"[5, 10, 15, 10, 12, 1, 18, 5, 5, 15]",96,123.6,0,0,none,"[8, 15, 12, 15, 10, 15, 12, 15, 0, 10]",112,84.8,0,0
