model,game_id,treatment_loss_prob,language,personality_condition,framing,n_players,n_rounds,endowment,target,group_total,reached_target,loss_triggered,random_draw,round_totals,agent1_personality,agent1_contributions,agent1_total,agent1_savings,agent1_payoff,agent1_parse_fallbacks,agent2_personality,agent2_contributions,agent2_total,agent2_savings,agent2_payoff,agent2_parse_fallbacks,agent3_personality,agent3_contributions,agent3_total,agent3_savings,agent3_payoff,agent3_parse_fallbacks,agent4_personality,agent4_contributions,agent4_total,agent4_savings,agent4_payoff,agent4_parse_fallbacks,agent5_personality,agent5_contributions,agent5_total,agent5_savings,agent5_payoff,agent5_parse_fallbacks,agent6_personality,agent6_contributions,agent6_total,agent6_savings,agent6_payoff,agent6_parse_fallbacks
qwen25-7b-instruct,p90_climate_vn_neutral_0,90,vn,neutral,climate,6,10,40,120,130,True,False,0.750746,"[12, 12, 14, 16, 14, 16, 12, 12, 10, 12]",none,"[0, 2, 4, 4, 2, 2, 2, 2, 0, 2]",20,20,20,0,none,"[2, 0, 2, 2, 2, 2, 2, 2, 2, 0]",16,24,24,0,none,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 4]",22,18,18,0,none,"[2, 2, 2, 4, 4, 4, 2, 2, 2, 2]",26,14,14,0,none,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",20,20,20,0,none,"[4, 4, 2, 2, 2, 4, 2, 2, 2, 2]",26,14,14,0
qwen25-7b-instruct,p90_climate_vn_neutral_1,90,vn,neutral,climate,6,10,40,120,144,True,False,0.661911,"[12, 14, 14, 14, 16, 14, 12, 18, 14, 16]",none,"[2, 2, 2, 2, 2, 2, 2, 0, 2, 2]",18,22,22,0,none,"[2, 2, 4, 2, 2, 2, 2, 4, 2, 2]",24,16,16,0,none,"[2, 2, 2, 4, 2, 2, 2, 4, 2, 4]",26,14,14,0,none,"[2, 2, 2, 2, 4, 4, 2, 2, 4, 2]",26,14,14,0,none,"[2, 2, 2, 2, 2, 2, 2, 4, 2, 2]",22,18,18,0,none,"[2, 4, 2, 2, 4, 2, 2, 4, 2, 4]",28,12,12,0
qwen25-7b-instruct,p90_climate_vn_neutral_2,90,vn,neutral,climate,6,10,40,120,152,True,False,0.397284,"[12, 12, 12, 12, 18, 14, 18, 18, 20, 16]",none,"[2, 2, 2, 2, 2, 2, 4, 2, 4, 2]",24,16,16,0,none,"[2, 2, 2, 2, 2, 2, 2, 4, 2, 2]",22,18,18,0,none,"[2, 2, 2, 2, 2, 4, 2, 2, 4, 4]",26,14,14,0,none,"[2, 2, 2, 2, 4, 2, 2, 4, 4, 4]",28,12,12,0,none,"[2, 2, 2, 2, 4, 2, 4, 4, 4, 2]",28,12,12,0,none,"[2, 2, 2, 2, 4, 2, 4, 2, 2, 2]",24,16,16,0
qwen25-7b-instruct,p90_climate_vn_neutral_3,90,vn,neutral,climate,6,10,40,120,138,True,False,0.022223,"[14, 16, 14, 14, 14, 16, 14, 12, 14, 10]",none,"[2, 4, 4, 2, 2, 2, 2, 2, 2, 0]",22,18,18,0,none,"[4, 2, 2, 2, 2, 2, 2, 2, 2, 2]",22,18,18,0,none,"[2, 2, 2, 2, 4, 2, 2, 2, 2, 2]",22,18,18,0,none,"[2, 4, 2, 2, 2, 4, 2, 2, 4, 0]",24,16,16,0,none,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",20,20,20,0,none,"[2, 2, 2, 4, 2, 4, 4, 2, 2, 4]",28,12,12,0
qwen25-7b-instruct,p90_climate_vn_neutral_4,90,vn,neutral,climate,6,10,40,120,130,True,False,0.877202,"[14, 14, 10, 14, 12, 14, 12, 14, 14, 12]",none,"[4, 2, 2, 2, 2, 2, 2, 4, 2, 2]",24,16,16,0,none,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 4]",22,18,18,0,none,"[2, 2, 2, 4, 2, 2, 2, 2, 4, 0]",22,18,18,0,none,"[2, 2, 0, 2, 2, 2, 2, 0, 2, 2]",16,24,24,0,none,"[2, 2, 0, 2, 2, 2, 2, 4, 2, 2]",20,20,20,0,none,"[2, 4, 4, 2, 2, 4, 2, 2, 2, 2]",26,14,14,0
qwen25-7b-instruct,p90_climate_vn_neutral_5,90,vn,neutral,climate,6,10,40,120,140,True,False,0.39398,"[12, 16, 14, 14, 12, 16, 14, 18, 14, 10]",none,"[2, 2, 2, 2, 2, 2, 2, 4, 2, 2]",22,18,18,0,none,"[2, 2, 2, 4, 2, 2, 2, 0, 2, 0]",18,22,22,0,none,"[2, 2, 2, 2, 2, 4, 2, 2, 2, 2]",22,18,18,0,none,"[2, 4, 2, 2, 2, 4, 4, 4, 4, 4]",32,8,8,0,none,"[2, 4, 2, 2, 2, 2, 2, 4, 2, 2]",24,16,16,0,none,"[2, 2, 4, 2, 2, 2, 2, 4, 2, 0]",22,18,18,0
qwen25-7b-instruct,p90_climate_vn_neutral_6,90,vn,neutral,climate,6,10,40,120,130,True,False,0.942587,"[14, 16, 14, 14, 12, 12, 12, 10, 16, 10]",none,"[2, 2, 2, 2, 2, 2, 2, 2, 4, 2]",22,18,18,0,none,"[2, 2, 2, 2, 2, 0, 2, 2, 4, 2]",20,20,20,0,none,"[4, 2, 2, 4, 4, 2, 2, 2, 2, 2]",26,14,14,0,none,"[2, 4, 4, 2, 0, 2, 2, 2, 0, 2]",20,20,20,0,none,"[2, 4, 2, 2, 2, 2, 2, 2, 4, 0]",22,18,18,0,none,"[2, 2, 2, 2, 2, 4, 2, 0, 2, 2]",20,20,20,0
qwen25-7b-instruct,p90_climate_vn_neutral_7,90,vn,neutral,climate,6,10,40,120,140,True,False,0.975304,"[12, 14, 14, 12, 12, 16, 16, 16, 16, 12]",none,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",20,20,20,0,none,"[2, 4, 2, 2, 2, 2, 2, 2, 4, 4]",26,14,14,0,none,"[2, 2, 4, 2, 2, 2, 4, 2, 2, 2]",24,16,16,0,none,"[2, 2, 2, 2, 2, 4, 4, 4, 4, 0]",26,14,14,0,none,"[2, 2, 2, 2, 2, 4, 2, 2, 2, 0]",20,20,20,0,none,"[2, 2, 2, 2, 2, 2, 2, 4, 2, 4]",24,16,16,0
qwen25-7b-instruct,p90_climate_vn_neutral_8,90,vn,neutral,climate,6,10,40,120,124,True,False,0.574299,"[10, 12, 12, 14, 14, 14, 12, 12, 12, 12]",none,"[0, 2, 2, 2, 2, 2, 2, 2, 2, 2]",18,22,22,0,none,"[2, 0, 2, 2, 2, 2, 2, 2, 2, 2]",18,22,22,0,none,"[2, 2, 2, 2, 4, 4, 2, 2, 2, 2]",24,16,16,0,none,"[2, 2, 2, 4, 2, 2, 2, 2, 2, 2]",22,18,18,0,none,"[2, 4, 2, 2, 2, 2, 2, 2, 2, 4]",24,16,16,0,none,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 0]",18,22,22,0
qwen25-7b-instruct,p90_climate_vn_neutral_9,90,vn,neutral,climate,6,10,40,120,148,True,False,0.724747,"[12, 12, 12, 14, 16, 12, 14, 16, 20, 20]",none,"[2, 2, 2, 2, 4, 2, 2, 0, 4, 4]",24,16,16,0,none,"[2, 0, 2, 2, 2, 2, 4, 4, 4, 4]",26,14,14,0,none,"[2, 2, 2, 2, 2, 2, 2, 4, 4, 2]",24,16,16,0,none,"[2, 2, 2, 2, 4, 2, 2, 2, 4, 2]",24,16,16,0,none,"[2, 4, 2, 4, 2, 2, 2, 2, 2, 4]",26,14,14,0,none,"[2, 2, 2, 2, 2, 2, 2, 4, 2, 4]",24,16,16,0
